Title,SelectionPhase1,Authors,Journal,Year,Abstract,DOI,source,Research Areas,Author Keywords,DOIURL
The Use of Immersive Visualization for the Control of Dental Anxiety During Oral Debridement,Not Multi User,"Padrino-Barrios C, McCombs G, Diawara N, De Leo G.",J Dent Hyg,2015,NA,,pubmed,NA,NA,URI::(https://www.doi.org/)
The Use of Social Networking Sites in Mental Health Interventions for Young People: Systematic Review,Good,"Ridout, B; Campbell, A",JOURNAL OF MEDICAL INTERNET RESEARCH,2018,"Background: The onset of mental health problems peaks between adolescence and young adulthood; however, young people face barriers to treatment and are often reluctant to seek professional help. Many are instead seeking support and information regarding their mental health via the Web, especially via social networking sites (SNSs), and hence, there is a promising opportunity to use SNSs to deliver or integrate with youth-focused online mental health interventions. Previous reviews have evaluated the effectiveness of SNSs for specific disorders in young people; however, none of the reviews have covered the breadth of SNS-based youth mental health interventions available across all mental health issues. Objective: This review aimed to systematically identify available evidence regarding the use of SNS-based interventions to support the mental health of young people aged up to 25 years, to evaluate their effectiveness, suitability, and safety, and identify gaps and opportunities for future research. Methods: The PubMed and PsycINFO databases were searched using Medical Subject Headings terms and exploded keywords and phrases. Retrieved abstracts (n= 974) were double screened, yielding 235 articles for screening at the full-text level. Of these, 9 articles met the review inclusion criteria. Given the small number of studies, and the variety of outcome measures used, a quantitative meta-analysis was not possible. Results: The 9 articles (quantitative studies, qualitative studies, and descriptions of the iterative design process) covered 5 separate interventions. Of the 5 interventions, 2 interventions used purpose-built platforms based on the moderated online social therapy (MOST) model, 2 used Facebook, and 1 evaluated a purpose-built mobile app. The 2 MOST interventions targeted specific mental health issues (depression and psychosis), whereas the others focused on improving mental health literacy, social support, and general well-being. Only 3 quantitative studies were identified, and all used a pre-post design (without a control group) to establish proof of concept. Of the outcome variables assessed, there were significant improvements in mental health knowledge and number of depressive symptoms but no improvement in anxiety or psychosis symptoms. Acceptability of and engagement with the SNS platforms were generally high, as were perceptions of usefulness and safety. Moderation by clinical experts was identified as a key component of the more successful interventions. When offered a choice, users showed a preference for mobile apps over Web-based interfaces. Conclusions: The evidence reviewed suggests young people find SNS-based interventions highly usable, engaging, and supportive. However, future studies need to address the current lack of high-quality evidence for their efficacy in reducing mental health symptoms. Given young people are already turning to SNSs to engage in knowledge seeking and peer-to-peer support, SNS-based youth mental health interventions provide an opportunity to address some of the barriers young people face in accessing qualified mental health support and information.",10.2196/12244,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,social media; social networking; mental health; social support; support groups,URI::(https://www.doi.org/10.2196/12244)
The Use of Virtual Reality to Reduce Stress among Inflammatory Bowel Disease Patients Treated with Vedolizumab,Not mental health,"Lewandowski, K; Kaniewska, M; Rosolowski, M; Kucha, P; Rydzewska, G",JOURNAL OF CLINICAL MEDICINE,2021,"(1) Background: The use of virtual reality (VR) in improving patient comfort related to medical procedures in oncology patients raised the question of whether similar benefits could be obtained by patients with inflammatory bowel disease (IBD). (2) Methods: In this prospective, randomized, controlled, single-center clinical trial, a total of 90 patients with IBD treated with vedolizumab were enrolled and randomized in a 1:1 allocation to either the VR immersion group or the routine-treated group. The primary outcome was to evaluate whether VR could decrease stress and anxiety related to a medical procedure. The secondary outcome was to assess the safety of the VR. (3) Results: A statistically significant improvement in well-being and psychological comfort (p = 0.046), feeling of relaxation (p = 0.046), sense of influence on the treatment process (p < 0.001), improved perception of the way the drug works (p < 0.001), improved positive attitude while waiting for the next administration of the drug (p = 0.026), and increased motivation for treatment (p = 0.026) was noticed in the intervention group. There were no statistically significant differences in the incidence of complications in the intervention and control groups. (4) Conclusions: The use of VR had a positive effect on the reduction of stress associated with vedolizumab treatment and could improve compliance.",10.3390/jcm10122709,"pubmed, wos",General & Internal Medicine,virtual reality; biological treatment; vedolizumab,URI::(https://www.doi.org/10.3390/jcm10122709)
The Utilization of Nintendo® Wii™ During Burn Rehabilitation: A Pilot Study,Not Multi User,"Yohannan, SK; Tufaro, PA; Hunter, H; Orleman, L; Palmatier, S; Sang, C; Gorga, DI; Yurt, RW",JOURNAL OF BURN CARE & RESEARCH,2012,"The purpose of this study was to demonstrate feasibility and measure outcomes on pain, anxiety, active range of motion (AROM), function, enjoyment, and presence with the adjunctive use of Nintendo (R) Wii (TM) (Nintendo of America Inc., Redmond, WA) during acute burn rehabilitation. Participants were alternated and stratified based on the location of burn into Wii or control treatment groups. Joints of interest with limited AROM were the shoulder, elbow, wrist, hip, knee, and ankle. All participants received three consecutive sessions of passive range of motion and predetermined joint-specific exercises. This was followed by either designated Wii games or therapist-chosen interventions (control). The outcomes were compared between groups using t-tests (P < .05) and Cohen's d statistic. Data from 23 participants aged 20 to 78 years were analyzed. The difference in mean slopes suggested that the Wii group experienced less pain (x = -0.97, P = .07) than the control group over time. Overall, trends with anxiety (x = -0.11, P = .77), AROM (x = 0.55, P = .81), function (x = -0.38, P = .43), and enjoyment (x = 0.09, P = .73) seemed to favor the Wii group. Presence minimally changed between successive treatment sessions for those in the Wii group. Although statistical significance was not reached in any category, feasibility was supported and the overall pattern for outcomes was positive for the Wii group, the most favorable being for pain reduction. Future research with larger sample sizes is warranted to explore best practice with video game technology throughout the continuum of burn rehabilitation with appropriate prescriptions. (J Burn Care Res 2012;33:36-45)",10.1097/BCR.0b013e318234d8ef,wos,General & Internal Medicine; Dermatology; Surgery,NA,URI::(https://www.doi.org/10.1097/BCR.0b013e318234d8ef)
The VRIMM study: Virtual Reality for IMMunisation pain in young children-protocol for a randomised controlled trial,Other,"Ellerton, K; Tharmarajah, H; Medres, R; Brown, L; Ringelblum, D; Vogel, K; Dolphin, A; McKellar, S; Bridson, F; John-White, M; Craig, S",BMJ OPEN,2020,"Introduction Pain caused by routine immunisations is distressing to children, their parents and those administering injections. If poorly managed, it can lead to anxiety about future medical procedures, needle phobia and avoidance of future vaccinations and other medical treatment. Several strategies, such as distraction, are used to manage the distress associated with routine immunisations. Virtual reality (VR), a technology which transports users into an immersive 'virtual world', has been used to manage pain and distress in various settings such as burns dressing changes and dental treatments. In this study, we aim to compare the effectiveness of VR to standard care in a general practice setting as a distraction technique to reduce pain and distress in 4-year-old children receiving routine immunisations. Methods and analysis The study is a randomised controlled clinical trial comparing VR with standard care in 100 children receiving routine 4-year-old vaccination. Children attending a single general practice in metropolitan Melbourne, Australia will be allocated using blocked randomisation to either VR or standard care. Children in the intervention group will receive VR intervention prior to vaccination in addition to standard care; the control group will receive standard care. The primary outcome is the difference in the child's self-rated pain scores between the VR intervention and control groups measured using The Faces Pain Scale-Revised. Secondary outcomes include another measure of self-rated pain (the Poker Chip Tool), parent/guardian and healthcare provider ratings of pain (standard 100 mm visual analogue scales) and adverse effects. Ethics and dissemination Ethics approval has been obtained in Australia from the Royal Australian College of General Practitioners National Research and Evaluation Ethics Committee (NREEC 18-010). Recruitment commenced in July 2019. We plan to submit study findings for publication in a peer-reviewed journal and presentation at relevant conferences.",10.1136/bmjopen-2020-038354,"pubmed, wos",General & Internal Medicine,paediatric infectious disease & immunisation; pain management; primary care,URI::(https://www.doi.org/10.1136/bmjopen-2020-038354)
The Value of Technology to Support Dyadic Caregiving for Individuals Living With Heart Failure: Qualitative Descriptive Study,Not mental health,"El-Dassouki, N; Pfisterer, K; Benmessaoud, C; Young, K; Ge, KLY; Lohani, R; Saragadam, A; Pham, Q",JOURNAL OF MEDICAL INTERNET RESEARCH,2022,"Background: The demand for health services to meet the chronic health needs of the aging population is significant and remains unmet because of the limited supply of clinical resources. Specifically, in managing heart failure (HF), digital health sought to address this gap during the COVID-19 pandemic but highlighted an access issue for those who could not use technology-mediated health care services without the support of their informal caregivers (ICs). The complexity of managing HF symptoms and recurrent exacerbations requires many patients to comanage their illness with their ICs in a care dyad, working together to optimize patient outcomes and health-related quality of life. However, most HF programs have missed the opportunity to consider the dyadic perspective despite interdependencies on HF outcomes. Objective: This study aims to characterize the value of technology in supporting caregiving for individuals living with HF. Methods: Motivated by an observed unique pattern of engagement in patients enrolled in our Medly HF management program at the Peter Munk Cardiac Centre in Toronto, Canada, we conducted 20 semistructured interviews with a convenience sample of ICs. All interviews were analyzed using the iterative refinement of a codeveloped codebook. The team maintained reflexivity journals to reflect the impact of their positionality on their coding. Themes were first derived deductively using HF typologies (patient-oriented dyads, caregiver-oriented dyads, and collaboratively oriented dyads) and then inductively refined and recategorized based on concepts from the van Houtven et al framework. Results: We believe that there is a need to formally and intentionally expand HF technologies to include dyadic needs and goals. We suggest defining 3 opportunities in which value can be added to technological design. First, identify how technology may be leveraged to increase psychological bandwidth by reducing uncertainty and providing peace of mind. We found that actionable feedback was highly desired by both partners. Second, develop technology that can serve as a member of the dyad's support system. In our experience, automated prompts for patients to take measurements can mimic the support typically provided by ICs and ease their workload. Third, consider how technology can mitigate the dyad's clinical knowledge requirements and learning curve. Our approach includes real-time actionable feedback paired with a human-in-the-loop, nurse-led model of care. Conclusions: Our findings identified a need to focus on improving the dyadic experience as a whole by building IC functionality into digital health self-management interventions. Through a shared model of care that supports the role of the patient in their own HF management, includes ICs to expand and enhance the patient's capacity to care, and acknowledges the need of ICs to care for themselves, we anticipate improved outcomes for both partners.",10.2196/40108,wos,Health Care Sciences & Services; Medical Informatics,heart failure; digital therapeutics; remote patient management; caregiving; dyadic management,URI::(https://www.doi.org/10.2196/40108)
The areas of intervention of social education professionals. A study with multimedia conceptual maps,Not Multi User,"Cano, EV; Márquez, EF; Meneses, EL",REVISTA LATINOAMERICANA DE TECNOLOGIA EDUCATIVA-RELATEC,2017,"This article presents a diachronic study in which the conceptions of university students on the specifc areas of Social Education through the elaboration of collaborative multimedia concept maps are analyzed. The sample consists of 321 students belonging to the Social Education and Dual Degree Social Education and Social Work Degree courses of the Universidad Pablo de Olavide, during the academic years 2014/15, 2015/16 and 2016/17. Through a qualitative methodology, through virtual ethnography and quantitative techniques with the use of questionnaires, we analyzed the intervention areas in Social Education and the most signifcant results were the following: drug addiction (16%), people with disabilities and mental health problems (13%), elderly (13%), and childhood (9%). Other areas that students have identifed as being specifc to Social Education are: immigration and adults (7%), adolescence (6%), gender violence (5%), socio-community care (4%), sociocultural animation and labor integration 3%), as well as judicial measures, social integration and exclusion (2%), homelessness, child violence, family mediation, education, street education, interculturality, or child violence (1%). In order to point out these concepts, multimedia conceptual maps have been elaborated which show fundamentaly through a vertical hierarchical arrangement.",10.17398/1695-288X.16.2.205,wos,Education & Educational Research,Higher Education; Pedagogical Innovation; Social Education; Classifcation scheme; Social Sciences,URI::(https://www.doi.org/10.17398/1695-288X.16.2.205)
The clinical effect of digital cognitive behavioural therapy for insomnia in subgroups with depressive and anxiety symptoms: A secondary analysis of a randomized-controlled trial,Not Multi User,"Rötger, A; Schuffelen, J; Maurer, LF; Lorenz, N; Pollok, B; Gieselmann, A",JOURNAL OF SLEEP RESEARCH,2024,"Insomnia is a highly prevalent mental disorder, and is often co-occurring with depression and anxiety disorders. Cognitive behavioural therapy for insomnia as treatment of choice for insomnia can also be applied digitally (digital cognitive behavioural therapy for insomnia), making it more accessible. This is a secondary data analysis of a two-armed parallel randomized-controlled trial. In the primary publication, N = 238 participants meeting criteria for the 5th edition of Diagnostic and Statistical Manual of Mental Disorders chronic insomnia disorder were randomly assigned to either 8 weeks of digital cognitive behavioural therapy for insomnia + treatment-as-usual, or waitlist + treatment-as-usual. To determine the clinical effects of digital cognitive behavioural therapy for insomnia in populations with comorbid anxiety and depression symptoms, this secondary analysis focused on two subgroups: (1) participants with high initial depressive symptoms; and (2) participants with high initial anxiety symptoms. Symptoms of insomnia, depression and anxiety as primary outcome measures were obtained at baseline, 8 weeks post-randomization and, in the intervention group only, at 6- and 12-months follow-up. At 8 weeks post-randomization, the use of digital cognitive behavioural therapy for insomnia in both subgroups was associated with large reductions in insomnia severity in comparison to control (depression subgroup: d = 2.37; anxiety subgroup: d = 2.13). Between-group treatment effects were also observed for symptoms of depression in the depression subgroup (d = 1.59), and for symptoms of anxiety in the anxiety subgroup (d = 1.28). Within-group effects were stable over time (d = 0.64-1.63). This secondary analysis shows that digital cognitive behavioural therapy for insomnia reduces insomnia and comorbid symptoms in participants with high initial symptoms of either depression or anxiety with sustained long-term effects.",10.1111/jsr.14173,"pubmed, wos",Neurosciences & Neurology,anxiety; cognitive behavioural therapy for insomnia; comorbid insomnia; depression; digital cognitive behavioural therapy for insomnia; digital health; digital therapy; secondary analysis,URI::(https://www.doi.org/10.1111/jsr.14173)
The clinical effects of digital cognitive behavioral therapy for insomnia in a heterogenous study sample: results from a randomized controlled trial,Not Multi User,"Schuffelen, J; Maurer, LF; Lorenz, N; Rötger, A; Pietrowsky, R; Gieselmann, A",SLEEP,2023,"Study Objectives Numerous studies worldwide have reported the beneficial effects of digital cognitive behavioral therapy for insomnia (dCBT-I). However, few focus on real-world study samples that reflect people in regular care. To test whether dCBT-I is suitable within German regular care, we designed a randomized controlled trial recruiting a heterogenous insomnia population.Methods Participants aged >= 18 who met the criteria for insomnia disorder were randomized to 8-weeks dCBT-I + care-as-usual (CAU) or they were set on a waitlist + CAU. The intervention group was followed-up at 6- and 12-months. The primary outcome was self-reported insomnia severity, assessed with the Insomnia Severity Index (ISI) at 8-weeks post-randomization. A one-way ANCOVA with baseline score as a covariate was fitted to determine group differences. Secondary outcomes included measures of daytime functioning, quality of life, depression, anxiety, dreams, and nightmares.Results Of the N = 238 participants (67.6% female), age range 19-81 years, n = 118 were randomized to dCBT-I and n = 120 to the control group. At posttreatment, the use of dCBT-I was associated with a large reduction in the ISI (Diffadj = -7.60) in comparison to WLC (d = -2.08). This clinical improvement was also reflected in responder and remission rates. Treatment effects were also observed for daytime functioning, quality of life, symptoms of depression and anxiety (ds = 0.26-1.02) and at long-term follow-up (intervention group only; ds = 0.18-1.65). No effects were found for dream and nightmare frequency.Conclusions This study showed that dCBT-I reduces insomnia symptoms and improves daytime functioning in a heterogenous insomnia population in Germany with sustained long-term treatment effects in the intervention group. Our results underscore the potential of digital health applications, their suitability within regular care, and their role in facilitating widespread implementation of CBT-I as a first-line treatment for insomnia. Graphical Abstract",10.1093/sleep/zsad184,"pubmed, wos",Neurosciences & Neurology,cognitive behavioral therapy for insomnia; CBT-I; insomnia; sleep; digital therapy; dCBT-I; digital health; regular care; randomized controlled trial; RCT,URI::(https://www.doi.org/10.1093/sleep/zsad184)
The combined use of virtual reality exposure in the treatment of agoraphobia,Not Multi User,"Pitti CT, Peñate W, de la Fuente J, Bethencourt JM, Roca-Sánchez MJ, Acosta L, Villaverde ML, Gracia R.",Actas Esp Psiquiatr,2015,NA,,pubmed,NA,NA,URI::(https://www.doi.org/)
The combined use of virtual reality exposure in the treatment of agoraphobia,Not Multi User,"Pitti, CT; Peñate, W; de la Fuente, J; Bethencourt, JM; Roca-Sánchez, MJ; Acosta, L; Villaverde, ML; Gracia, R",ACTAS ESPANOLAS DE PSIQUIATRIA,2015,"Introduction. This study compares the differential efficacy of three groups of treatments for agoraphobia: paroxetine combined with cognitive-behavioral therapy, paroxetine combined with cognitive-behavioral therapy and virtual reality exposure, and a group with only paroxetine. Methodology. 99 patients with agoraphobia were finally selected. Both combined treatment groups received 11 sessions of cognitive-behavioral therapy, and one of the groups was also exposed to 4 sessions of virtual reality treatment. Treatments were applied in individual sessions once a week for 3 months. Results. The three treatment groups showed statistically significant improvements. In some measures, combined treatment groups showed greater improvements. The virtual reality exposure group showed greater improvement confronting phobic stimuli. Conclusions. Treatments combining psychopharmacological and psychological therapy showed greater efficacy. Although the use of new technologies led to greater improvement, treatment adherence problems still remain.",NA,wos,Neurosciences & Neurology; Psychiatry,Agoraphobia; Combined treatment; Paroxetine; Psychotherapy; Virtual reality,URI::(https://www.doi.org/NA)
The design and conduct of Project RedDE: A cluster-randomized trial to reduce diagnostic errors in pediatric primary care,Not mental health,"Bundy, DG; Singh, H; Stein, REK; Brady, TM; Lehmann, CU; Heo, M; O'Donnell, HC; Rice-Conboy, E; Rinke, ML",CLINICAL TRIALS,2019,"Background: Diagnostic errors contribute to the large burden of healthcare-associated harm experienced by children. Primary care settings involve high diagnostic uncertainty and limited time and information, creating ideal conditions for diagnostic errors. We report on the design and conduct of Project RedDE, a stepped-wedge, cluster-randomized controlled trial of a virtual quality improvement collaborative aimed at reducing diagnostic errors in pediatric primary care. Methods: Project RedDE cluster-randomized pediatric primary care practices into one of three groups. Each group participated in a quality improvement collaborative targeting the same three diagnostic errors (missed diagnoses of elevated blood pressure and adolescent depression and delayed diagnoses of abnormal laboratory studies), but in a different sequence. During the quality improvement collaborative, practices worked both independently and collaboratively, leveraging general quality improvement strategies (e.g. process mapping) in addition to error-specific content (e.g. pocket guides for blood pressure norms) delivered during the intervention phase for each error. The quality improvement collaborative intervention included interactive learning sessions and webinars, quality improvement coaching at the team level, and repeated evaluation of failures via root cause analyses. Pragmatic data were collected monthly, submitted to a centralized data aggregator, and returned to the practices in the form of run charts comparing each practice's progress over time to that of the group. The primary analysis used patients as the unit of analysis and compared diagnostic error proportions between the intervention and baseline periods, while secondary analyses evaluated the sustainability of observed reductions in diagnostic errors after the intervention period ended. Results: A total of 43 practices were recruited and randomized into Project RedDE. Eleven practices withdrew before submitting any data, and one practice merged with another participating practice, leaving 31 practices that began work on Project RedDE. All but one of the diverse, national pediatric primary care practices that participated ultimately submitted complete data. Quality improvement collaborative participation was robust, with an average of 63% of practices present on quality improvement collaborative webinars and 85% of practices present for quality improvement collaborative learning sessions. Complete data included 30 months of outcome data for the first diagnostic error worked on, 24 months of outcome data for the second, and 16 months of data for the third. Lessons learned and limitations: Contamination across study groups was a recurring concern; concerted efforts were made to mitigate this risk. Electronic health records played a large role in teams' success. Conclusion: Project RedDE, a virtual quality improvement collaborative aimed at reducing diagnostic errors in pediatric primary care, successfully recruited and retained a diverse, national group of pediatric primary care practices. The stepped-wedge, cluster-randomized controlled trial design allowed for enhanced scientific efficiency.",10.1177/1740774518820522,"pubmed, wos",Research & Experimental Medicine,Diagnostic errors; primary health care; quality improvement; hypertension; depression; clinical laboratory techniques; stepped-wedge design,URI::(https://www.doi.org/10.1177/1740774518820522)
"The design and development of a hybrid off-job crafting intervention to enhance needs satisfaction, well-being and performance: a study protocol for a randomized controlled trial",Not Multi User,"Kosenkranius, MK; Rink, FA; de Bloom, J; van den Heuvel, M",BMC PUBLIC HEALTH,2020,"Background Employees dealing with job demands such as high workload and permeable work-life boundaries could benefit from bottom-up well-being strategies such as off-job crafting. We have developed a hybrid off-job crafting intervention to promote off-job crafting, a proactive pursuit to adjust one's off-job time activities to satisfy one's psychological needs. This hybrid intervention contains both on-site (two trainings) and online elements (smartphone app) to enhance employees' well-being and performance within different life domains. Methods The study is designed as a randomized controlled trial with an intervention group and a waitlist control group. The study population will be Finnish knowledge workers. The intervention program focuses on six psychological needs (detachment, relaxation, autonomy, mastery, meaning, and affiliation) proposed by the DRAMMA model. The intervention will consist of the following components: 1) an on-site off-job crafting training, 2) an individual off-job crafting plan for the four-week intervention period, 3) Everydaily smartphone app usage, and 4) a training session for reflection. The study outcomes are assessed with online questionnaires once at baseline, weekly during the intervention period and twice after the intervention (two-week and six-week follow-up). Moreover, during the second training session, participants will participate in a process evaluation to shed light on the mechanisms that can affect the effectiveness of the intervention. Discussion We expect that the intervention will stimulate off-job crafting behaviors, which may in turn increase well-being and performance in both non-work and work domains during and after the intervention (compared to baseline and to the control group). The intervention may provide employees with additional resources to deal with various stressors in life. Furthermore, this off-job crafting intervention could also offer performance benefits for the employers such as increased organizational citizenship behaviors among employees.",10.1186/s12889-020-8224-9,"pubmed, wos","Public, Environmental & Occupational Health",Off-job crafting; Psychological needs; Well-being; Job performance; M-health,URI::(https://www.doi.org/10.1186/s12889-020-8224-9)
The development and pilot evaluation of a mental health mobile app in the Philippines,Other,"Hechanova-Alampay, MR; Angeles, PL; Tuliao, A; Hilario, E; Pagente, AF; Narra, CV",MENTAL HEALTH AND SOCIAL INCLUSION,2022,"PurposeThe purpose of this study was to test a mobile application for mental health created for Filipinos. Specifically, it tested the Lusog-Isip mobile app vis-a-vis a mental health workbook as they affect psychosocial well-being and coping strategies of users. Design/methodology/approachThis study used a randomized control trial design. Participants were assigned to two conditions: a treatment group using the mobile app and a control group that used an existing mental health workbook. Pre- and post-tests were conducted before and two weeks after. FindingsResults revealed improved psychological well-being and use of cognitive reappraisal for both mobile app and workbook users. Users of the mobile app reported higher scores compared to those who used the workbook for emotional release. Originality/valueThis study adds to the dearth of knowledge on the use of a mobile application for mental health in low-resource countries. It highlights the potential of using digital technologies to provide access to mental health resources in underserved populations.",10.1108/MHSI-04-2022-0024,wos,Social Work,Philippines; Mobile application; Mental health; Digital technology; COVID-19,URI::(https://www.doi.org/10.1108/MHSI-04-2022-0024)
The effect of Housing First on mobile and digital media usage by people experiencing homelessness: A program evaluation based on a randomized controlled trial in Spain,Not Multi User,"Martínez-Cantos, JL; Martín-Fernández, JA; Panadero, S",MOBILE MEDIA & COMMUNICATION,2023,"In 2014, a non-governmental organization called HOGAR Si initiated the Habitat program as a pioneer attempt to implement the Housing First model in Spain. The present study is part of the evaluation of this program, which was carried out from May 2015 to February 2020 using a form of a randomized controlled trial. The treatment group was compared with a control group (people experiencing homelessness but not selected as Habitat users), keeping track of their evolution over 18 months. Among the many dimensions that were evaluated (coverage of basic needs, life satisfaction, victimization, physical and mental health, etc.), the study analyzed social support and leisure activities involving the use of mobile media and other communication technologies-along similar lines to some previous research. The main results show that participating in the Habitat program brought a few improvements in digital inclusion. That is the case of the higher use of mobile phones to receive calls, to connect to the Internet, or to have contact with relatives, partners, or friends. These gains seem to be significant for the increase in perception of available social support by Habitat users, whereas these changes did not occur in the comparison group to the same extent. Additionally, participating in the program enhances satisfaction with leisure time, as well as the frequency of carrying out some activities such as shopping, watching TV, or doing a pastime or hobby. It could be concluded that the Habitat program achieved significant improvements in areas beyond specific housing services. The positive effects regarding social support and leisure activities seem to be partly channeled through mobile phones and digital applications; nevertheless, we are aware that further research and discussion on the active role of these technologies in helping people experiencing homelessness is still necessary.",10.1177/20501579231216670,wos,Communication,Housing First; homelessness; mobile media; evaluation; randomized controlled trial,URI::(https://www.doi.org/10.1177/20501579231216670)
The effect of VR headsets used during burn dressing in children on satisfaction and anxiety level of their parents,Not Multi User,"Kilic U, Büyük Tural E, Oruc MA, Aydın Avci I.",J Pediatr Nurs,2024,NA,10.1016/j.pedn.2024.01.006,pubmed,NA,NA,URI::(https://www.doi.org/10.1016/j.pedn.2024.01.006)
The effect of a game-based mobile app 'MyHeartMate' to promote lifestyle change in coronary disease patients: a randomized controlled trial,Not Multi User,"Gallagher, R; Chow, CK; Parker, H; Neubeck, L; Celermajer, DS; Redfern, J; Tofler, G; Buckley, T; Schumacher, T; Hyun, K; Boroumand, F; Figtree, G",EUROPEAN HEART JOURNAL - DIGITAL HEALTH,2023,"AimsSecondary prevention reduces coronary heart disease (CHD) progression. Traditional prevention programs including cardiac rehabilitation are under-accessed, which smartphone apps may overcome. To evaluate the effect of a game-based mobile app intervention (MyHeartMate) to improve cardiovascular risk factors and lifestyle behaviours.Methods and resultsSingle-blind randomized trial of CHD patients in Sydney, 2017-2021. Intervention group were provided the MyHeartMate app for 6 months. Co-designed features included an avatar of the patient's heart and tokens earned by risk factor work (tracking, challenges, and quizzes). The control group received usual care. Primary outcome was self-reported physical activity [metabolic equivalents (METs), Global Physical Activity Questionnaire] and secondary outcomes included lipid levels, blood pressure (BP), body mass index, and smoking. Pre-specified sample size was achieved (n = 390), age 61.2 +/- 11.5 years; 82.5% men and 9.2% current smokers. At 6 months, adjusted for baseline levels, the intervention group achieved more physical activity than control (median difference 329 MET mins/wk), which was not statistically significant (95% CI -37.4, 696; P = 0.064). No differences occurred between groups on secondary outcomes except for lower triglyceride levels in the intervention [mean difference -0.3 (95% CI -0.5, -0.1 mmoL/L, P = 0.004)]. Acceptability was high: 94.8% of intervention participants engaged by tracking exercise or BP and completing missions; 26.8% continued to engage for >= 30 days. Participants (n = 14) reported the app supported tracking behaviours and risk factors, reinforcing and improving self-care confidence, and decreasing anxiety.ConclusionA game-based app proved highly acceptable for patients with CHD but did not improve risk factors or lifestyle behaviours other than triglyceride levels. Graphical Abstract",10.1093/ehjdh/ztac069,"pubmed, wos",Cardiovascular System & Cardiology,Coronary heart disease; Digital health; Risk factors; Randomized controlled trial; Secondary prevention; Mobile health; Gamification,URI::(https://www.doi.org/10.1093/ehjdh/ztac069)
The effect of a peer-assisted video-based training programme and counselling to reduce anxiety in children newly diagnosed with cancer: Non-randomised controlled trial,Good,"Erkul, M; Efe, E; Güler, E",EUROPEAN JOURNAL OF CANCER CARE,2022,"Objective The aim of this study is to evaluate the effect of 'peer-assisted video-based education programme' (VTPA) and counselling to reduce anxiety in children newly diagnosed with cancer. Methods A non-randomised controlled trial design with repeated measures was conducted. The sample of the study consisted of 50 children between the ages of 9 and 18 who were newly diagnosed with cancer in the hospital. Intervention and control groups were created. Children in the intervention group received both VTPA training and counselling practice 3 days a week for 2 months. Data were collected with the State-Trait Anxiety Inventory for Children. The basal assessment in the research was the first meeting with the child, with interval assessments 1 month after, 2 months after and 3 months after the education. Results In the study, it was determined that the state anxiety mean scores of the children in the PAVEP and control groups differed over time (p < 0.05). However, it was determined that there was no difference between the trait anxiety mean scores of the children (p > 0.05). Conclusion VTPA with peer assistance and counselling application supported the reduction of state anxiety in children newly diagnosed with cancer over time.",10.1111/ecc.13698,wos,Oncology; Health Care Sciences & Services; Nursing; Rehabilitation,anxiety; counselling; education; paediatric cancer,URI::(https://www.doi.org/10.1111/ecc.13698)
